lalka_1_01_f000001|Jak wygląda firma J. Mincel i S. Wokulski przez szkło butelek?|Jak wygląda firma J. Mincel i S. Wokulski przez szkło butelek?
lalka_1_01_f000017|Dla osób, posilających się w tej co radca jadłodajni, dla jej właściciela, subiektów i chłopców, przyczyny klęsk mających paść na S.|Dla osób posilających się w tej co radca jadłodajni dla jej właściciela subiektów i chłopców przyczyny klęsk mających paść na S.
lalka_1_01_f000018|Wokulskiego i jego sklep galanteryjny były tak jasne, jak gazowe płomyki oświetlające zakład.|Wokulskiego i jego sklep galanteryjny były tak jasne jak gazowe płomyki oświetlające zakład.
lalka_1_01_f000019|Przyczyny te tkwiły w niespokojnym charakterze, w awanturniczem życiu, zresztą w najświeższym postępku człowieka,|Przyczyny te tkwiły w niespokojnym charakterze w awanturniczem życiu zresztą w najświeższym postępku człowieka
lalka_1_01_f000020|który mając w rękach pewny kawałek chleba i możność uczęszczania do tej oto tak przyzwoitej restauracji,|który mając w rękach pewny kawałek chleba i możność uczęszczania do tej oto tak przyzwoitej restauracji
lalka_1_01_f000021|dobrowolnie wyrzekł się restauracji, sklep zostawił na Opatrzności boskiej, a sam, z całą gotówką odziedziczoną po żonie, pojechał na turecką wojnę robić majątek.|dobrowolnie wyrzekł się restauracji sklep zostawił na Opatrzności boskiej a sam z całą gotówką odziedziczoną po żonie pojechał na turecką wojnę robić majątek.
lalka_1_01_f000022|A może go i zrobi... Dostawy dla wojska to gruby interes - wtrącił pan Szprot, ajent handlowy, który bywał tu rzadkim gościem.|A może go i zrobi... Dostawy dla wojska to gruby interes - wtrącił pan Szprot ajent handlowy który bywał tu rzadkim gościem.
lalka_1_01_f000023|Nic nie zrobi - odparł pan Deklewski - a tymczasem porządny sklep diabli wezmą. Na dostawach bogacą się tylko żydzi i niemcy; nasi do tego nie mają głowy.|Nic nie zrobi - odparł pan Deklewski - a tymczasem porządny sklep diabli wezmą. Na dostawach bogacą się tylko żydzi i niemcy; nasi do tego nie mają głowy.
lalka_1_01_f000024|A może Wokulski ma głowę?|A może Wokulski ma głowę?
lalka_1_01_f000025|Wariat! Wariat!... mruknął radca. - Podaj no Józiu piwa. Która to?|Wariat! Wariat!... mruknął radca. - Podaj no Józiu piwa. Która to?
lalka_1_01_f000026|Siódma buteleczka, panie radco. Służę piorunem.|Siódma buteleczka panie radco. Służę piorunem.
lalka_1_01_f000027|Już siódma?... Jak ten czas leci, jak ten czas leci.|Już siódma?... Jak ten czas leci jak ten czas leci.
lalka_1_01_f000028|Ajent handlowy, który, z obowiązków stanowiska, potrzebował mieć o kupcach wiadomości wszechstronne i wyczerpujące,|Ajent handlowy który z obowiązków stanowiska potrzebował mieć o kupcach wiadomości wszechstronne i wyczerpujące
lalka_1_01_f000029|przeniósł swoję butelkę i szklankę do stołu radcy i topiąc słodkie spojrzenie w jego załzawionych oczach, spytał zniżonym głosem:|przeniósł swoję butelkę i szklankę do stołu radcy i topiąc słodkie spojrzenie w jego załzawionych oczach spytał zniżonym głosem:
lalka_1_01_f000030|Przepraszam, ale... dlaczego pan radca nazywa Wokulskiego Wariatem?|Przepraszam ale... dlaczego pan radca nazywa Wokulskiego Wariatem?
lalka_1_01_f000031|Może mogę służyć cygarkiem... Ja trochę znam Wokulskiego.|Może mogę służyć cygarkiem... Ja trochę znam Wokulskiego.
lalka_1_01_f000032|Zawsze wydawał mi się człowiekiem skrytym i dumnym. W kupcu skrytość jest wielką zaletą, duma wadą. Ale żeby Wokulski zdradzał skłonność do wariacji, tegom nie spostrzegł.|Zawsze wydawał mi się człowiekiem skrytym i dumnym. W kupcu skrytość jest wielką zaletą duma wadą. Ale żeby Wokulski zdradzał skłonność do wariacji tegom nie spostrzegł.
lalka_1_01_f000033|Radca przyjął cygaro bez szczególnych oznak wdzięczności.|Radca przyjął cygaro bez szczególnych oznak wdzięczności.
lalka_1_01_f000034|Jego rumiana twarz, otoczona pękami siwych włosów nad czołem, na brodzie i na policzkach, była w tej chwili podobna do krwawnika oprawionego w srebro.|Jego rumiana twarz otoczona pękami siwych włosów nad czołem na brodzie i na policzkach była w tej chwili podobna do krwawnika oprawionego w srebro.
lalka_1_01_f000035|Nazywam go - odparł, powoli ogryzając i zapalając cygaro - nazywam go Wariatem, gdyż go znam lat.|Nazywam go - odparł powoli ogryzając i zapalając cygaro - nazywam go Wariatem gdyż go znam lat.
lalka_1_01_f000036|Zaczekaj pan... Piętnaście... siedemnaście... ośmnaście... Było to w roku tysiąc osiemset sześćdziesiątym. Jadaliśmy wtedy u Hopfera. Znałeś pan Hopfera?|Zaczekaj pan... Piętnaście... siedemnaście... ośmnaście... Było to w r. jedna tysiąc osiemset sześćdziesiąt... Jadaliśmy wtedy u Hopfera. Znałeś pan Hopfera?
lalka_1_01_f000037|Phi.|Phi.
lalka_1_01_f000038|Otóż Wokulski był wtedy u Hopfera subiektem i miał już ze dwadzieścia parę lat.|Otóż Wokulski był wtedy u Hopfera subiektem i miał już ze dwadzieścia parę lat.
lalka_1_01_f000039|W handlu win i delikatesów?|W handlu win i delikatesów?
lalka_1_01_f000040|Tak. I jak dziś Józio, tak on wówczas podawał mi piwo, zrazy nelsońskie.|Tak. I jak dziś Józio tak on wówczas podawał mi piwo zrazy nelsońskie.
lalka_1_01_f000041|I z tej branży przerzucił się do galanterii? - wtrącił ajent.|I z tej branży przerzucił się do galanterii? - wtrącił ajent.
lalka_1_01_f000042|Zaczekaj pan - przerwał radca. - Przerzucił się, ale nie do galanterii, tylko do szkoły przygotowawczej, a potem do szkoły głównej, rozumie pan?... Zachciało mu się być uczonym!|Zaczekaj pan - przerwał radca. - Przerzucił się ale nie do galanterii tylko do szkoły przygotowawczej a potem do szkoły głównej rozumie pan?... Zachciało mu się być uczonym!
lalka_1_01_f000043|Ajent począł chwiać głową w sposób oznaczający zdziwienie.|Ajent począł chwiać głową w sposób oznaczający zdziwienie.
lalka_1_01_f000044|Istna heca - rzekł. - I skąd mu to przyszło?|Istna heca - rzekł. - I skąd mu to przyszło?
lalka_1_01_f000045|No, skąd! Zwyczajnie - stosunki z akademią medyczną, ze szkołą sztuk pięknych.|No skąd! Zwyczajnie - stosunki z akademią medyczną ze szkołą sztuk pięknych.
lalka_1_01_f000046|Wtedy wszystkim paliło się we łbach, a on nie chciał być gorszy od innych. W dzień służył gościom przy bufecie i prowadził rachunki, a w nocy uczył się.|Wtedy wszystkim paliło się we łbach a on nie chciał być gorszy od innych. W dzień służył gościom przy bufecie i prowadził rachunki a w nocy uczył się.
lalka_1_01_f000047|Licha musiała to być usługa.|Licha musiała to być usługa.
lalka_1_01_f000048|Taka jak innych - odparł radca, niechętnie machając ręką. - Tylko, że przy posłudze był bestia niemiły; na najniewinniejsze słówko marszczył się jak zbój.|Taka jak innych - odparł radca niechętnie machając ręką. - Tylko że przy posłudze był bestia niemiły; na najniewinniejsze słówko marszczył się jak zbój.
lalka_1_01_f000049|Rozumie się, używaliśmy na nim, co wlazło, a on najgorzej gniewał się jeżeli nazwał go kto panem konsyliarzem. Raz tak zwymyślał gościa, że mało obaj nie porwali się za czuby.|Rozumie się używaliśmy na nim co wlazło a on najgorzej gniewał się jeżeli nazwał go kto panem konsyliarzem. Raz tak zwymyślał gościa że mało obaj nie porwali się za czuby.
lalka_1_01_f000050|Naturalnie handel cierpiał na tem.|Naturalnie handel cierpiał na tem.
lalka_1_01_f000051|Wcale nie! Bo kiedy po Warszawie rozeszła się wieść, że subiekt Hopfera chce wstąpić do szkoły przygotowawczej, tłumy zaczęły tam przychodzić na śniadanie.|Wcale nie! Bo kiedy po Warszawie rozeszła się wieść że subiekt Hopfera chce wstąpić do szkoły przygotowawczej tłumy zaczęły tam przychodzić na śniadanie.
lalka_1_01_f000052|Osobliwie roiła się studenteria.|Osobliwie roiła się studenteria.
lalka_1_01_f000053|I poszedł też do szkoły przygotowawczej?|I poszedł też do szkoły przygotowawczej?
lalka_1_01_f000054|Poszedł i nawet zdał egzamin do szkoły głównej. No, ale co pan powiesz - ciągnął radca uderzając ajenta w kolano - że zamiast wytrwać przy nauce do końca,|Poszedł i nawet zdał egzamin do szkoły głównej. No ale co pan powiesz - ciągnął radca uderzając ajenta w kolano - że zamiast wytrwać przy nauce do końca
lalka_1_01_f000055|niespełna w rok rzucił szkołę.|niespełna w rok rzucił szkołę.
lalka_1_01_f000056|Cóż robił?|Cóż robił?
lalka_1_01_f000057|Otóż - co... Gotował wraz z innymi piwo, które do dziś dnia pijemy i sam w rezultacie oparł się aż gdzieś około Irkucka.|Otóż - co... Gotował wraz z innymi piwo które do dziś dnia pijemy i sam w rezultacie oparł się aż gdzieś około Irkucka.
lalka_1_01_f000058|Heca panie! - westchnął ajent handlowy.|Heca panie! - westchnął ajent handlowy.
lalka_1_01_f000059|Nie koniec na tem... W roku tusiąc osiemset siedemdziesiątym wrócił do Warszawy z niewielkim fundusikiem.|Nie koniec na tem... W r. jedna tysiąc osiemset siedemdziesiąt wrócił do Warszawy z niewielkim fundusikiem.
lalka_1_01_f000060|Przez pół roku szukał zajęcia, z daleka omijając handle korzenne, których po dziś dnia nienawidzi, aż nareszcie przy protekcji swego dzisiejszego dysponenta,|Przez pół roku szukał zajęcia zdaleka omijając handle korzenne których po dziś dzień nienawidzi aż nareszcie przy protekcji swego dzisiejszego dysponenta
lalka_1_01_f000061|Rzeckiego, wkręcił się do sklepu Minclowej, która akurat została wdową, i - w rok potem ożenił się z babą, grubo starszą od niego.|Rzeckiego wkręcił się do sklepu Minclowej która akurat została wdową i - w rok potem ożenił się z babą grubo starszą od niego.
lalka_1_01_f000062|To nie było głupie - wtrącił ajent.|To nie było głupie - wtrącił ajent.
lalka_1_01_f000063|Zapewne. Jednym zamachem zdobył sobie byt i warsztat, na którym mógł spokojnie pracować do końca życia. Ale też miał on krzyż Pański z tą babą!|Zapewne. Jednym zamachem zdobył sobie byt i warsztat na którym mógł spokojnie pracować do końca życia. Ale też miał on krzyż Pański z babą!
lalka_1_01_f000064|One tak mieją.|One tak mieją.
lalka_1_01_f000065|Jeszcze jak! - prawił radca. - Patrz pan jednakże co to znaczy szczęście.|Jeszcze jak! - prawił radca. - Patrz pan jednakże co to znaczy szczęście.
lalka_1_01_f000066|Półtora roku temu, baba objadła się czegoś i umarła, a Wokulski po czteroletniej katordze, został wolny jak ptaszek,|Półtora roku temu baba objadła się czegoś i umarła a Wokulski po czteroletniej katordze został wolny jak ptaszek
lalka_1_01_f000067|z zasobnym sklepem i trzydziestoma tysiącami rubli w gotowiźnie, na którą pracowały dwa pokolenia Minclów.|z zasobnym sklepem i trzydzieści tysiącami rubli w gotowiźnie na którą pracowały dwa pokolenia Minclów.
lalka_1_01_f000068|Ma szczęście.|Ma szczęście.
lalka_1_01_f000069|Miał - poprawił radca - ale go nie uszanował. Inny, na jego miejscu, ożeniłby się z jaką uczciwą panienką i żyłby w dostatkach; bo co to panie dziś znaczy sklep z reputacją i w doskonałym punkcie!|Miał - poprawił radca - ale go nie uszanował. Inny na jego miejscu ożeniłby się z jaką uczciwą panienką i żyłby w dostatkach; bo co to panie dziś znaczy sklep z reputacją i w doskonałym punkcie!
lalka_1_01_f000070|Ten jednak Wariat rzucił wszystko i pojechał robić interesa na wojnie. Milionów mu się zachciało, czy kiego diabła.|Ten jednak Wariat rzucił wszystko i pojechał robić interesa na wojnie. Milionów mu się zachciało czy kiego diabła.
lalka_1_01_f000071|Może je będzie miał - odezwał się ajent.|Może je będzie miał - odezwał się ajent.
lalka_1_01_f000072|Ehe! żachnął się radca. Dajno Józiu piwa. Myślisz pan, że w Turcji znajdzie jeszcze bogatszą babę, aniżeli nieboszczka Minclowa?... Józiu!|Ehe! żachnął się radca. Dajno Józiu piwa. Myślisz pan że w Turcji znajdzie jeszcze bogatszą babę aniżeli nieboszczka Minclowa?... Józiu!
lalka_1_01_f000073|Służę piorunem!... Jedzie ósma.|Służę piorunem!... Jedzie ósma.
lalka_1_01_f000074|Ósma? - powtórzył radca - to być nie może. Zaraz. Przed tem była szósta, potem siódma..., mruczał, zasłaniając twarz dłonią. - Może być, że ósma. Jak ten czas leci!|Ósma? - powtórzył radca - to być nie może. Zaraz. Przed tem była szósta potem siódma... mruczał zasłaniając twarz dłonią. - Może być że ósma. Jak ten czas leci!
lalka_1_01_f000075|Mimo posępne wróżby ludzi trzeźwo patrzących na rzeczy, sklep galanteryjny pod firmą J.|Mimo posępne wróżby ludzi trzeźwo patrzących na rzeczy sklep galanteryjny pod firmą J.
lalka_1_01_f000076|Mincel i S. Wokulski nietylko nie upadł, ale nawet robił dobre interesa.|Mincel i S. Wokulski nietylko nie upadł ale nawet robił dobre interesa.
lalka_1_01_f000077|Publiczność, zaciekawiona pogłoskami o bankructwie, coraz liczniej odwiedzała magazyn, od chwili zaś, kiedy Wokulski opuścił Warszawę, zaczęli zgłaszać się po towary kupcy rosyjscy.|Publiczność zaciekawiona pogłoskami o bankructwie coraz liczniej odwiedzała magazyn od chwili zaś kiedy Wokulski opuścił Warszawę zaczęli zgłaszać się po towary kupcy rosyjscy.
lalka_1_01_f000078|Zamówienia mnożyły się, kredyt za granicą istniał, weksle były płacone regularnie, a sklep roił się gośćmi, którym ledwo mogli wydołać trzej subjekci:|Zamówienia mnożyły się kredyt za granicą istniał weksle były płacone regularnie a sklep roił się gośćmi którym ledwo mogli wydołać trzej subjekci:
lalka_1_01_f000079|jeden mizerny blondyn, wyglądający jakby co godzinę umierał na suchoty, drugi szatyn z brodą filozofa a ruchami księcia i trzeci elegant, który nosił zabójcze dla płci pięknej wąsiki;|jeden mizerny blondyn wyglądający jakby cogodzinę umierał na suchoty drugi szatyn z brodą filozofa a ruchami księcia i trzeci elegant który nosił zabójcze dla płci pięknej wąsiki;
lalka_1_01_f000080|pachnąc przy tem jak laboratoryum chemiczne.|pachnąc przy tem jak laboratoryum chemiczne.
lalka_1_01_f000081|Ani jednak ciekawość ogółu, ani fizyczne i duchowe zalety trzech subiektów, ani nawet ustalona reputacja sklepu,|Ani jednak ciekawość ogółu ani fizyczne i duchowe zalety trzech subiektów ani nawet ustalona reputacja sklepu
lalka_1_01_f000082|może nie uchroniłyby go od upadku, gdyby nie zawiadował nim czterdziesto letni pracownik firmy, przyjaciel i zastępca Wokulskiego, pan Ignacy Rzecki.|może nie uchroniłyby go od upadku gdyby nie zawiadował nim czterdzieści-letni pracownik firmy przyjaciel i zastępca Wokulskiego pan Ignacy Rzecki.
lalka_1_02_f000001|Rządy starego subiekta.|Rządy starego subiekta.
lalka_1_02_f000002|Pan Ignacy od dwudziestu pięciu lat mieszkał w pokoiku przy sklepie.|Pan Ignacy od dwadzieścia pięć lat mieszkał w pokoiku przy sklepie.
lalka_1_02_f000003|W ciągu tego czasu sklep zmieniał właścicieli i podłogę, szafy i szyby w oknach, zakres swojej działalności i subiektów; ale pokój pana Rzeckiego pozostał zawsze taki sam.|W ciągu tego czasu sklep zmieniał właścicieli i podłogę szafy i szyby w oknach zakres swojej działalności i subiektów; ale pokój pana Rzeckiego pozostał zawsze taki sam.
lalka_1_02_f000004|Było w nim to same smutne okno, wychodzące na to samo podwórze, z tą samą kratą, na której szczeblach zwieszała się,|Było w nim to same smutne okno wychodzące na to samo podwórze z tą samą kratą na której szczeblach zwieszała się
lalka_1_02_f000005|być może, ćwierćwiekowa pajęczyna, a zpewnością ćwierćwiekowa firanka, niegdyś zielona, obecnie wypłowiała z tęsknoty za słońcem.|być może ćwierćwiekowa pajęczyna a zpewnością ćwierćwiekowa firanka niegdyś zielona obecnie wypłowiała z tęsknoty za słońcem.
lalka_1_02_f000006|Pod oknem stał ten sam czarny stół obity suknem, także niegdyś zielonem, dziś tylko poplamionem.|Pod oknem stał ten sam czarny stół obity suknem także niegdyś zielonem dziś tylko poplamionem.
lalka_1_02_f000007|Na nim wielki czarny kałamarz wraz z wielką czarną piaseczniczką, przymocowaną do tej samej podstawki, - para mosiężnych lichtarzy do świec łojowych, których już nikt nie palił i stalowe szczypce, któremi już nikt nie obcinał knotów.|Na nim wielki czarny kałamarz wraz z wielką czarną piaseczniczką przymocowaną do tej samej podstawki - para mosiężnych lichtarzy do świec łojowych których już nikt nie palił i stalowe szczypce któremi już nikt nie obcinał knotów.
lalka_1_02_f000008|Żelazne łóżko z bardzo cienkim materacem, nad niem nigdy nieużywana dubeltówka, pod niem pudło z gitarą,|Żelazne łóżko z bardzo cienkim materacem nad niem nigdy nieużywana dubeltówka pod niem pudło z gitarą
lalka_1_02_f000009|przypominające dziecinną trumienkę, wąska kanapka obita skórą, dwa krzesła również skórą obite, duża blaszana miednica i mała szafa ciemnowiśniowej barwy,|przypominające dziecinną trumienkę wąska kanapka obita skórą dwa krzesła również skórą obite duża blaszana miednica i mała szafa ciemnowiśniowej barwy
lalka_1_02_f000010|stanowiły umeblowanie pokoju, który, ze względu na swoję długość i mrok w nim panujący, zdawał się być podobniejszym do grobu, aniżeli do mieszkania.|stanowiły umeblowanie pokoju który ze względu na swoję długość i mrok w nim panujący zdawał się być podobniejszym do grobu aniżeli do mieszkania.
lalka_1_02_f000011|Równie jak pokój nie zmieniły się od ćwierć wieku zwyczaje pana Ignacego.|Równie jak pokój nie zmieniły się od ćwierć wieku zwyczaje pana Ignacego.
lalka_1_02_f000012|Rano budził się zawsze o szóstej; przez chwilę słuchał czy idzie leżący na krześle zegarek i spoglądał na wskazówki, które tworzyły jednę linią prostą.|Rano budził się zawsze o szóstej; przez chwilę słuchał czy idzie leżący na krześle zegarek i spoglądał na skazówki które tworzyły jednę linią prostą.
lalka_1_02_f000013|Chciał wstać spokojnie, bez awantur; ale że chłodne nogi i nieco zesztywniałe ręce, nie okazywały się dość uległemi jego woli,|Chciał wstać spokojnie bez awantur; ale że chłodne nogi i nieco zesztywniałe ręce nie okazywały się dość uległemi jego woli
lalka_1_02_f000014|więc zrywał się, nagle wyskakiwał na środek pokoju i, rzuciwszy na łóżko szlafmycę, biegł pod piec do wielkiej miednicy,|więc zrywał się nagle wyskakiwał na środek pokoju i rzuciwszy na łóżko szlafmycę biegł pod piec do wielkiej miednicy
lalka_1_02_f000015|w której mył się od stóp do głów, rżąc i parskając jak wiekowy rumak szlachetnej krwi, któremu przypomniał się wyścig.|w której mył się od stóp do głów rżąc i parskając jak wiekowy rumak szlachetnej krwi któremu przypomniał się wyścig.
lalka_1_02_f000016|Podczas obrządku wycierania się kosmatemi ręcznikami, z upodobaniem patrzał na swoje chude łydki i zarośnięte piersi, mrucząc:|Podczas obrządku wycierania się kosmatemi ręcznikami z upodobaniem patrzał na swoje chude łydki i zarośnięte piersi mrucząc:
lalka_1_02_f000017|No, przecie nabieram ciała.|No przecie nabieram ciała.
lalka_1_02_f000018|W tym samym czasie zeskakiwał z kanapki jego stary pudel Ir, z wybitem okiem i, mocno otrząsnąwszy się, zapewne z resztek snu, skrobał do drzwi, za któremi rozlegało się pracowite dmuchanie w samowar.|W tym samym czasie zeskakiwał z kanapki jego stary pudel Ir z wybitem okiem i mocno otrząsnąwszy się zapewne z resztek snu skrobał do drzwi za któremi rozlegało się pracowite dmuchanie w samowar.
lalka_1_02_f000019|Pan Rzecki, wciąż ubierając się z pośpiechem, wypuszczał psa, mówił dzień dobry służącemu, wydobywał z szafy imbryk,|Pan Rzecki wciąż ubierając się z pośpiechem wypuszczał psa mówił dzień dobry służącemu wydobywał z szafy imbryk
lalka_1_02_f000020|mylił się przy zapinaniu mankietów, biegł na podwórze zobaczyć stan pogody, parzył się gorącą herbatą, czesał się nie patrząc w lustro i o wpół do siódmej był gotów.|mylił się przy zapinaniu mankietów biegł na podwórze zobaczyć stan pogody parzył się gorącą herbatą czesał się nie patrząc w lustro i o wpół do siódmej był gotów.
lalka_1_02_f000021|Obejrzawszy się czy ma krawat na szyi, a zegarek i portmonetkę w kieszeniach, pan Ignacy wydobywał ze stolika wielki klucz i, trochę zgarbiony, uroczyście otwierał tylne drzwi sklepu, obite żelazną blachą.|Obejrzawszy się czy ma krawat na szyi a zegarek i portmonetkę w kieszeniach pan Ignacy wydobywał ze stolika wielki klucz i trochę zgarbiony uroczyście otwierał tylne drzwi sklepu obite żelazną blachą.
lalka_1_02_f000022|Wchodzili tam obaj ze służącym, zapalali parę płomyków gazu i, podczas gdy służący zamiatał podłogę, pan Ignacy odczytywał przez binokle ze swego notatnika rozkład zajęć na dzień dzisiejszy.|Wchodzili tam obaj ze służącym zapalali parę płomyków gazu i podczas gdy służący zamiatał podłogę pan Ignacy odczytywał przez binokle ze swego notatnika rozkład zajęć na dzień dzisiejszy.
lalka_1_02_f000023|Oddać w banku osiemset rubli, aha... Do Lublina wysłać trzy albumy, tuzin portmonetek.|Oddać w banku osiemset rubli aha... Do Lublina wysłać trzy albumy tuzin portmonetek.
lalka_1_02_f000024|Właśnie!... Do Wiednia przekaz na tysiąc dwieście guldenów... Z kolei odebrać transport... Zmonitować rymarza za nieodesłanie walizek... Bagatela!... Napisać list do Stasia... Bagatela.|Właśnie!... Do Wiednia przekaz na jedna i dwieście tysięcznych guldenów... Z kolei odebrać transport... Zmonitować rymarza za nieodesłanie walizek... Bagatela!... Napisać list do Stasia... Bagatela.
lalka_1_02_f000025|Skończywszy czytać, zapalał jeszcze kilka płomieni i przy ich blasku robił przegląd towarów w gablotkach i szafach.|Skończywszy czytać zapalał jeszcze kilka płomieni i przy ich blasku robił przegląd towarów w gablotkach i szafach.
lalka_1_02_f000026|Spinki, szpilki, portmonety... dobrze... Rękawiczki, wachlarze, krawaty.|Spinki szpilki portmonety... dobrze... Rękawiczki wachlarze krawaty.
lalka_1_02_f000027|tak jest... Laski, parasole, sakwojaże... A tu - albumy, neseserki.|tak jest... Laski parasole sakwojaże... A tu - albumy neseserki.
lalka_1_02_f000028|Szafirowy wczoraj sprzedano, naturalnie!... Lichtarze, kałamarze, przyciski.|Szafirowy wczoraj sprzedano naturalnie!... Lichtarze kałamarze przyciski.
lalka_1_02_f000029|Porcelana... Ciekawym dlaczego ten wazon odwrócili?|Porcelana... Ciekawym dlaczego ten wazon odwrócili?
lalka_1_02_f000030|Z pewnością... Nie, nie uszkodzony... Lalki z włosami, teatr, karuzel.|Z pewnością... Nie nie uszkodzony... Lalki z włosami teatr karuzel.
lalka_1_02_f000031|Trzeba na jutro postawić w oknie karuzel, bo już fontanna spowszedniała. Bagatela!|Trzeba na jutro postawić w oknie karuzel bo już fontanna spowszedniała. Bagatela!
lalka_1_02_f000032|Ósma dochodzi... Założyłbym się, że Klajn będzie pierwszy, a Mraczewski ostatni. Naturalnie.|Ósma dochodzi... Założyłbym się że Klajn będzie pierwszy a Mraczewski ostatni. Naturalnie.
lalka_1_02_f000033|Poznał się z jakąś guwernantką i już jej kupił neseserkę na rachunek i z rabatem... Rozumie się... Byle nie zaczął kupować bez rabatu i bez rachunku.|Poznał się z jakąś guwernantką i już jej kupił neseserkę na rachunek i z rabatem... Rozumie się... Byle nie zaczął kupować bez rabatu i bez rachunku.
lalka_1_02_f000034|Tak mruczał i chodził po sklepie przygarbiony, z rękoma w kieszeniach, a za nim jego pudel.|Tak mruczał i chodził po sklepie przygarbiony z rękoma w kieszeniach a za nim jego pudel.
lalka_1_02_f000035|Pan od czasu do czasu zatrzymywał się i oglądał jakiś przedmiot, pies przysiadał na podłodze i skrobał tylną nogą gęste kudły,|Pan od czasu do czasu zatrzymywał się i oglądał jakiś przedmiot pies przysiadał na podłodze i skrobał tylną nogą gęste kudły
lalka_1_02_f000036|a rzędem ustawione w szafie lalki małe, średnie i duże, brunetki i blondynki przypatrywały się im martwemi oczami.|a rzędem ustawione w szafie lalki małe średnie i duże brunetki i blondynki przypatrywały się im martwemi oczami.
